label,Acceleration_max(3-axis)_x,Acceleration_max(3-axis)_y,Acceleration_min(3-axis)_x,Acceleration_min(3-axis)_y,Acceleration_pv(3-axis)_x,Acceleration_pv(3-axis)_y,
reverse,0.01,0.05,-0.04,0.0,0.05,0.05
reverse,0.02,0.05,-0.04,-0.01,0.06,0.06
reverse,0.02,0.06,-0.03,-0.02,0.05,0.08
reverse,0.03,0.06,-0.03,-0.01,0.06,0.07
reverse,0.02,0.05,-0.04,-0.01,0.06,0.06
reverse,0.02,0.05,-0.04,-0.01,0.06,0.06
reverse,0.02,0.06,-0.04,0.0,0.06,0.06
reverse,0.01,0.05,-0.04,0.0,0.05,0.05
reverse,0.01,0.05,-0.05,-0.01,0.06,0.06
reverse,0.02,0.07,-0.04,0.0,0.06,0.07
reverse,0.02,0.05,-0.05,0.0,0.07,0.05
reverse,0.02,0.05,-0.04,0.0,0.06,0.05
reverse,0.02,0.05,-0.05,0.0,0.07,0.05
reverse,0.01,0.06,-0.06,0.0,0.07,0.06
reverse,0.01,0.05,-0.04,-0.01,0.05,0.06
reverse,0.02,0.07,-0.04,-0.01,0.06,0.08
reverse,0.01,0.06,-0.04,-0.01,0.05,0.07
reverse,0.01,0.05,-0.05,-0.01,0.06,0.06
reverse,0.02,0.05,-0.05,-0.01,0.07,0.06
reverse,0.01,0.06,-0.04,0.0,0.05,0.06
reverse,0.02,0.05,-0.04,0.0,0.06,0.05
